Time,LAFmx,LAFmn,LAeq,LCpk
12:34:44,71.9,0.0,57.3,94.9 
12:34:54,70.7,0.0,59.2,91.9 
12:35:04,52.7,0.0,0.0,0.0 
12:35:14,52.9,0.0,0.0,83.0 
12:35:24,68.2,0.0,55.6,89.9 
12:35:34,85.0,0.0,68.0,112.6 
12:35:44,69.2,0.0,59.8,89.9 
12:35:54,79.6,0.0,62.7,104.3 
12:36:04,64.0,0.0,55.1,85.2 
12:36:14,76.3,0.0,59.7,99.8 
12:36:24,71.4,51.6,56.4,89.6 
12:36:34,68.1,0.0,56.2,94.9 
12:36:44,65.0,49.0,55.6,86.5 
12:36:54,80.8,0.0,67.2,102.7 
12:37:04,84.0,0.0,71.6,97.5 
12:37:14,87.9,50.0,74.3,95.4 
12:37:24,65.1,50.1,57.6,85.7 
12:37:34,63.5,0.0,53.9,0.0 
12:37:44,63.3,0.0,55.3,0.0 
12:37:54,63.3,0.0,51.8,93.7 
12:38:04,71.4,50.4,61.9,90.7 
12:38:14,75.7,55.5,63.9,94.1 
12:38:24,76.8,56.3,63.9,100.8 
12:38:34,63.3,56.7,58.3,92.8 
12:38:44,74.4,49.8,65.5,97.1 
12:38:54,81.8,0.0,67.1,106.8 
12:39:04,80.4,53.9,68.3,103.7 
12:39:14,81.2,49.7,66.4,103.7 
12:39:24,70.8,49.0,58.6,97.6 
12:39:34,78.1,0.0,61.6,94.4 
12:39:44,60.6,0.0,52.2,91.5 
12:39:54,60.2,0.0,53.1,90.7 
12:40:04,79.7,0.0,66.0,110.4 
12:40:14,64.4,0.0,55.3,88.1 
12:40:24,65.3,0.0,55.5,93.9 
12:40:34,69.4,0.0,60.1,88.4 
12:40:44,87.1,0.0,71.4,110.0 
12:40:54,94.1,0.0,79.8,119.2 
12:41:04,63.2,0.0,50.4,0.0 
12:41:14,67.1,0.0,59.0,0.0 
12:41:24,83.0,0.0,69.1,99.3 
12:41:34,55.9,0.0,0.0,0.0 
12:41:44,54.1,0.0,0.0,0.0 
12:41:54,84.3,0.0,70.2,99.7 
12:42:04,60.0,0.0,50.9,0.0 
12:42:14,70.3,0.0,54.2,85.7 
12:42:24,50.7,0.0,0.0,0.0 
12:42:34,69.7,0.0,54.3,91.1 
12:42:44,72.1,0.0,57.2,90.3 
12:42:54,96.8,0.0,80.0,122.1 
12:43:04,91.6,0.0,54.7,95.3 
12:43:14,102.3,0.0,83.9,126.4 
12:43:24,89.5,49.7,73.5,118.5 
12:43:34,65.0,0.0,56.9,92.0 
12:43:44,63.2,0.0,54.2,87.8 
