Time,CO2,CO,Temp,Humidity
12:09:13,222,0,72.5,44
12:09:23,238,0,72.6,45
12:09:33,242,0,72.7,45
12:09:43,244,0,72.7,45
12:09:53,242,0,72.7,45
12:10:03,244,0,72.7,45
12:10:13,250,0,72.7,45
12:10:23,248,0,72.8,45
12:10:33,246,0,72.7,45
12:10:43,244,0,72.8,45
12:10:53,242,0,72.8,45
12:11:03,238,0,72.8,45
12:11:13,232,0,72.7,45
12:11:23,228,0,72.5,46
12:11:33,218,0,72.6,46
12:11:43,218,0,72.6,46
12:25:57,564,0,74.5,46
12:26:07,590,0,74.4,45
12:26:17,626,0,74.5,47
12:26:27,780,0,74.5,45
12:26:37,778,0,74.5,45
12:26:47,778,0,74.4,45
12:26:57,648,0,74.5,45
12:27:07,574,0,74.3,44
12:27:17,510,0,74.4,44
12:27:27,428,0,74.4,44
12:27:37,410,0,74.4,44
12:27:47,394,0,74.3,44
12:27:57,368,0,74.3,44
12:28:07,358,0,74.2,44
12:28:17,350,0,74.2,44
12:28:27,334,0,74.2,45
12:28:37,326,0,74.3,44
12:28:47,320,0,74.3,45
12:28:57,312,0,74.3,45
12:29:07,304,0,74.3,44
12:29:17,304,0,74.2,45
12:29:27,294,0,74.2,44
12:29:37,284,0,74.3,44
12:29:47,276,0,74.3,44
12:29:57,266,0,74.3,44
12:30:07,258,0,74.6,44
12:30:17,256,0,74.5,44
12:30:27,252,0,74.5,44
12:30:37,246,0,74.7,44
12:30:47,248,0,74.9,45
12:30:57,278,0,74.8,44
12:31:07,378,0,74.9,44
12:31:17,406,0,74.9,43
12:31:27,414,0,74.9,43
12:31:37,414,0,74.9,44
12:31:47,476,0,74.9,45
12:31:57,528,0,75,45
12:32:07,538,0,74.9,44
12:32:17,544,0,74.7,43
12:32:27,532,0,74.6,43
12:32:37,524,0,74.6,43
12:32:47,512,0,74.5,43
12:32:57,496,0,74.5,43
12:33:07,480,0,74.3,43
12:33:17,442,0,74.5,44
12:33:27,416,0,74.6,44
12:33:37,390,0,74.6,45
12:33:47,378,0,74.7,45
12:33:57,366,0,74.9,46
12:34:07,362,0,74.9,47
12:34:17,364,0,74.5,44
12:34:27,348,0,74.7,42
12:34:37,340,0,74.8,42
12:34:47,320,0,74.9,42
12:34:57,306,0,74.9,42
12:35:07,294,0,74.9,42
12:35:17,278,0,74.9,42
12:35:27,256,0,75,43
12:35:37,248,0,74.9,43
12:35:47,242,0,74.5,42
12:35:57,232,0,74.6,42
12:36:07,220,0,74.6,42
12:36:17,216,0,74.5,42
12:36:27,216,0,74.5,42
12:36:37,214,0,74.6,42
12:36:47,210,0,74.7,42
12:36:57,208,0,74.7,43
12:37:07,206,0,74.7,42
12:37:17,200,0,74.7,42
12:37:27,198,0,74.7,42
12:37:37,198,0,74.6,42
12:37:47,202,0,74.5,42
12:37:57,212,0,74.4,42
12:38:07,218,0,74.5,42
12:38:17,226,0,74.8,43
12:38:27,230,0,75,43
12:38:37,236,0,75,42
12:38:47,244,0,75,42
12:38:57,246,0,75,42
12:39:07,246,0,75.1,42
12:39:17,248,0,75.1,42
12:39:27,252,0,75.1,42
12:39:37,256,0,75.1,42
12:39:47,256,0,75.1,42
12:39:57,262,0,74.9,42
12:40:07,260,0,73.9,42
12:40:17,260,0,73.4,40
12:40:27,254,0,71.8,40
12:40:37,248,0,70.7,42
12:40:47,214,0,70.4,44
12:40:57,194,0,70.1,45
12:41:07,188,0,70.2,43
12:41:17,178,0,70.2,43
12:41:27,170,0,70.8,43
12:41:37,156,0,70.6,43
12:41:47,136,0,70.5,44
12:41:57,134,0,70.5,45
12:42:07,130,0,70.4,45
12:42:17,126,0,69.4,43
12:42:27,116,0,69.1,43
12:42:37,112,0,68.7,43
12:42:47,112,0,68.5,43
12:42:57,112,0,69.2,44
12:43:07,110,0,69.8,46
12:43:17,106,0,70.3,47
12:43:27,100,0,70.7,47
12:43:37,98,0,70.9,47
12:43:47,92,0,71,47
12:43:57,92,0,70.7,47
12:44:07,94,0,69.2,45
12:44:17,96,0,69.5,45
12:44:27,100,0,69.6,44
12:44:37,98,0,69.7,43
12:44:47,98,0,69.9,43
12:44:57,96,0,70.1,43
12:45:07,96,0,69.1,43
12:45:17,94,0,69.4,43
12:45:27,90,0,72.5,45
12:45:37,90,0,74.7,41
12:45:47,90,0,76.6,41
12:45:57,84,0,77.7,38
12:46:07,84,0,77.4,36
12:46:17,86,0,77.9,36
12:46:27,86,0,78.2,37
12:46:37,82,0,76.7,37
12:46:47,84,0,76.9,39
12:46:57,86,0,74.1,41
12:47:07,86,0,73.5,39
12:47:17,84,0,73.4,38
12:47:27,82,0,71.9,40
12:47:37,84,0,71.6,41
12:47:47,82,0,71.3,42
12:47:57,82,0,71.1,41
12:48:07,86,0,71.4,42
12:48:17,90,0,70.6,42
12:48:27,92,0,70.5,41
12:48:37,90,0,71.8,42
12:48:47,90,0,73.4,40
12:48:57,110,0,73.4,40
12:49:07,116,0,72.5,40
12:49:17,112,0,71.7,40
12:49:27,112,0,70.9,41
12:49:37,108,0,71.1,42
12:49:47,106,0,70.6,42
12:49:57,104,0,71.2,42
12:50:07,104,1,72.5,41
12:50:17,102,1,72.3,41
12:50:27,102,0,71.4,44
12:50:37,102,0,70.7,44
12:50:47,100,0,70.7,42
12:50:57,98,0,72.3,42
12:51:07,104,0,73.8,41
12:51:17,130,0,73.9,40
12:51:27,306,0,72.6,41
12:51:37,298,0,73.5,40
12:51:47,266,0,73.4,38
12:51:57,260,0,73.3,38
12:52:07,240,0,70.8,39
12:52:17,190,0,70.5,41
12:52:27,164,0,72,40
12:52:37,170,0,73.1,39
12:52:47,198,1,71.4,39
12:52:57,200,0,73.2,39
12:53:07,196,0,73.1,37
12:53:17,182,0,71,38
12:53:27,160,0,71.9,39
12:53:37,156,0,72.7,37
12:53:47,156,0,72.9,37
12:53:57,152,0,73.9,35
12:54:07,152,0,79,35
12:54:17,178,0,79,31
12:54:27,222,0,78.6,30
12:54:37,218,0,74.1,34
12:54:47,214,0,73.6,37
12:54:57,206,0,73.9,37
12:55:07,200,0,76.3,35
12:55:17,192,0,77.3,33
